   MJD       EECO-REF    NIST-REF NS     DATE    COMMENTS	
=========    ========    ======== ==   ========  ========
 50280.00       0.0          .256 g f 16-JUL-96  CL Eff: pol. - Grypstra
 50284.00       0.0          .214 g f 20-JUL-96  CL Eff: pol. - Grypstra
 50290.00       0.0          .179 g f 26-JUL-96  CL Eff: pol. - Grypstra
 50300.00       0.0          .198 g f 05-AUG-96  CL Eff: pol. - Grypstra
 50310.00       0.0          .312 g f 15-AUG-96  CL Eff: pol. - Grypstra
 50315.00       0.0          .405 g f 20-AUG-96  CL Eff: pol. - Grypstra
 50320.00       0.0          .521 g f 25-AUG-96  CL Eff: pol. - Grypstra
 50330.00       0.0          .826 g f 04-SEP-96  CL Eff: pol. - Grypstra
 50335.50       0.0          .611 g f 09-SEP-96  CL Eff: pol. - Grypstra
 50336.00       0.0          .583 g f 10-SEP-96  CL Eff: pol. - Grypstra
 50336.50       0.0          .555 g f 10-SEP-96  CL Eff: pol. - Grypstra
 50337.00       0.0          .527 g f 11-SEP-96  CL Eff: pol. - Grypstra
 50337.50       0.0          .500 g f 11-SEP-96  CL Eff: pol. - Grypstra
 50338.00       0.0          .473 g f 12-SEP-96  CL Eff: pol. - Grypstra
 50338.50       0.0          .446 g f 12-SEP-96  CL Eff: pol. - Grypstra
 50339.00       0.0          .420 g f 13-SEP-96  CL Eff: pol. - Grypstra
 50339.50       0.0          .394 g f 13-SEP-96  CL Eff: pol. - Grypstra
 50353.00       0.0         -.181 g f 27-SEP-96  CL Eff: pol. - Grypstra
 50353.50       0.0         -.198 g f 27-SEP-96  CL Eff: pol. - Grypstra
 50354.00       0.0         -.214 g f 28-SEP-96  CL Eff: pol. - Grypstra
 50354.50       0.0         -.230 g f 28-SEP-96  CL Eff: pol. - Grypstra
 50355.00       0.0         -.246 g f 29-SEP-96  CL Eff: pol. - Grypstra
 50355.50       0.0         -.261 g f 29-SEP-96  CL Eff: pol. - Grypstra
 50356.00       0.0         -.276 g f 30-SEP-96  CL Eff: pol. - Grypstra
 50356.50       0.0         -.291 g f 30-SEP-96  CL Eff: pol. - Grypstra
 50357.00       0.0         -.305 g f 01-OCT-96  CL Eff: pol. - Grypstra
 50357.50       0.0         -.319 g f 01-OCT-96  CL Eff: pol. - Grypstra
